movie_id,title,release_date,popularity,vote_average,vote_count,overview,original_language,genre_ids
1242898,Predator: Badlands,2025-11-05,720.5807,7.65,1105,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",en,"[28, 878, 12]"
1252037,The Tank,2025-09-18,446.5848,7.13,150,"A German Tiger tank crew is sent on a dangerous mission to rescue the missing officer Paul von Hardenburg from a top-secret bunker behind enemy lines. As they make their way through the lethal no-man's land, they must confront not only the enemy, but also their own fears and inner demons. Fueled by the Wehrmacht's methamphetamine, their mission increasingly becomes a journey into the heart of darkness.",de,"[10752, 28, 18]"
83533,Avatar: Fire and Ash,2025-12-17,395.9455,7.4,1277,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",en,"[878, 12, 14]"
1084242,Zootopia 2,2025-11-26,275.7872,7.593,1007,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",en,"[16, 35, 12, 10751, 9648]"
628847,Trap House,2025-11-14,234.5497,6.281,114,"An undercover DEA agent and his partner embark on a game of cat and mouse with an audacious, and surprising group of thieves - their own rebellious teenagers, who have begun robbing from a dangerous cartel, using their parents' tactics and top-secret intel to do it.",en,"[28, 80, 53]"
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,177.6354,7.638,645,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",ja,"[16, 28, 14]"
1368166,The Housemaid,2025-12-18,166.6836,7.178,273,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",en,"[9648, 53]"
1228246,Five Nights at Freddy's 2,2025-12-03,156.4514,6.813,544,"One year since the supernatural nightmare at Freddy Fazbear's Pizza, the stories about what transpired there have been twisted into a campy local legend, inspiring the town's first ever Fazfest. With the truth kept from her, Abby sneaks out to reconnect with Freddy, Bonnie, Chica, and Foxy, setting into motion a terrifying series of events that will reveal dark secrets about the real origin of Freddy's, and unleash a decades-hidden horror.",en,"[27, 53]"
755898,War of the Worlds,2025-07-29,148.2171,4.227,819,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",en,"[878, 53]"
425274,Now You See Me: Now You Don't,2025-11-12,131.5351,6.592,835,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.",en,"[53, 80, 9648]"
982843,The Great Flood,2025-09-18,121.7378,6.01,442,"When a raging flood traps a researcher and her young son, a call to a crucial mission puts their escape — and the future of humanity — on the line.",ko,"[878, 12, 18]"
1419406,The Shadow's Edge,2025-08-16,119.4149,6.7,192,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,zh,"[28, 80, 53]"
533533,TRON: Ares,2025-10-08,89.7823,6.555,910,"A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.",en,"[878, 12, 28]"
1223601,Sisu: Road to Revenge,2025-10-21,89.0588,7.5,438,"Returning to the house where his family was brutally murdered during the war, ‘the man who refuses to die’ dismantles it, loads it on a truck, and is determined to rebuild it somewhere safe in their honor. When the commander who killed his family comes back hellbent on finishing the job, a relentless, eye-popping cross-country chase ensues.",fi,"[28, 10752]"
967941,Wicked: For Good,2025-11-19,76.9351,6.697,666,"As an angry mob rises against the Wicked Witch, Glinda and Elphaba will need to come together one final time. With their singular friendship now the fulcrum of their futures, they will need to truly see each other, with honesty and empathy, if they are to change themselves, and all of Oz, for good.",en,"[14, 12, 10749]"
798645,The Running Man,2025-11-11,71.1214,6.823,915,"Desperate to save his sick daughter, working-class Ben Richards is convinced by The Running Man's charming but ruthless producer to enter the deadly competition game as a last resort. But Ben's defiance, instincts, and grit turn him into an unexpected fan favorite — and a threat to the entire system. As ratings skyrocket, so does the danger, and Ben must outwit not just the Hunters, but a nation addicted to watching him fall.",en,"[28, 53, 878]"
1234731,Anaconda,2025-12-24,70.2489,5.877,130,"A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals.",en,"[12, 35, 27]"
1054867,One Battle After Another,2025-09-23,70.2419,7.446,2307,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",en,"[53, 80, 28]"
